City_ID,City,,,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
203,suleja,,,1528905420,74,9.18,7.18,87.34,2.95
204,tazovskiy,,,1528905420,60,67.47,78.7,67.72,14.81
205,waterloo,,,1528902000,78,43.47,-80.52,75.2,12.75
206,kruisfontein,,,1528905421,47,-34,24.73,75.82,8.43
207,hithadhoo,,,1528905421,100,-0.6,73.08,83.65,6.42
208,aqtobe,,,1528902000,24,50.28,57.21,71.6,6.71
209,trinidad,,,1528902000,76,-33.52,-56.9,50,17.22
210,jasper,,,1528904100,83,33.83,-87.28,78.8,5.19
211,tempio pausania,,,1528903800,77,40.9,9.1,69.8,11.41
212,kununurra,,,1528902000,73,-15.77,128.74,73.4,5.82
213,zhob,,,1528905423,10,31.34,69.45,80.95,5.64
214,los llanos de aridane,,,1528903800,60,28.66,-17.92,73.4,12.75
215,nohar,,,1528905423,22,29.18,74.77,98.5,9.55
216,sainte-suzanne,,,1528903800,48,47.51,6.77,66.2,10.29
217,crotone,,,1528901400,42,39.09,17.12,82.4,23.04
218,gambela,,,1528905424,94,8.25,34.59,68.62,2.95
219,kavaratti,,,1528905424,100,10.57,72.64,81.67,22.64
220,ust-ilimsk,,,1528905425,87,57.96,102.73,60.61,1.95
221,leo,,,1528905429,66,11.1,-2.1,94.72,4.63
222,totolapan,,,1528902840,77,18.99,-98.92,59,5.82
223,funtua,,,1528905429,50,11.52,7.31,90.67,2.17
224,salalah,,,1528901400,89,17.01,54.1,84.2,10.29
225,burnie,,,1528905430,100,-41.05,145.91,51.88,21.07
226,boulder city,,,1528902900,11,35.98,-114.83,89.6,3.51
227,massakory,,,1528905431,46,13,15.73,100.21,6.98
228,arlit,,,1528905432,14,18.74,7.39,110.92,4.74
229,zhigansk,,,1528905432,56,66.77,123.37,56.83,4.97
230,florianopolis,,,1528902000,64,-27.6,-48.55,69.8,3.36
231,lavrentiya,,,1528905432,76,65.58,-170.99,35.95,8.43
232,bluefield,,,1528902900,78,37.27,-81.22,78.8,11.41
233,te anau,,,1528905433,80,-45.41,167.72,27.22,2.84
234,marawi,,,1528905433,99,8,124.29,66.73,2.28
235,amapa,,,1528905600,83,15.09,-87.97,84.2,4.7
236,palmer,,,1528902000,82,-34.85,139.16,55.4,17.22
237,cidreira,,,1528905434,81,-30.17,-50.22,51.97,26.33
238,saint-pierre,,,1528903800,67,48.95,4.24,66.2,12.75
239,aykhal,,,1528905439,57,65.95,111.51,62.23,4.74
240,ondangwa,,,1528902000,13,-17.91,15.98,84.2,2.24
241,pitimbu,,,1528902000,54,-7.47,-34.81,84.2,17.22
242,grandview,,,1528905300,65,38.89,-94.53,80.6,10.29
243,williston,,,1528902900,36,48.15,-103.62,71.6,8.05
244,maniitsoq,,,1528905442,97,65.42,-52.9,36.31,5.53
245,krasnyy yar,,,1528905443,86,50.7,44.73,64.03,8.21
246,nouadhibou,,,1528902000,47,20.93,-17.03,80.6,14.99
247,buritama,,,1528905444,95,-21.07,-50.14,75.1,6.31
248,longyearbyen,,,1528901400,86,78.22,15.63,33.8,18.34
249,lasa,,,1528903800,74,34.92,32.53,80.6,6.93
250,college,,,1528901880,75,64.86,-147.8,42.8,3.36
251,ust-tsilma,,,1528905445,84,65.44,52.15,54.4,3.62
252,saint-augustin,,,1528903800,82,44.83,-0.61,69.8,12.75
253,berlevag,,,1528901400,70,70.86,29.09,42.8,13.87
254,havoysund,,,1528903200,87,71,24.66,42.8,13.87
255,kamina,,,1528905450,23,-8.74,25,85,7.99
256,yaan,,,1528905450,100,7.38,8.57,85.9,7.09
257,makakilo city,,,1528901820,83,21.35,-158.09,77,4.7
258,along,,,1528905450,98,28.17,94.8,68.89,1.5
259,vanimo,,,1528905451,100,-2.67,141.3,83.65,4.29
260,hovd,,,1528903200,48,63.83,10.7,62.6,4.7
261,la maddalena,,,1528903200,57,39.15,9.02,75.2,17.22
262,grand gaube,,,1528902000,69,-20.01,57.66,75.2,14.99
263,novoagansk,,,1528905453,37,61.94,76.66,67.81,8.43
264,kearney,,,1528902900,64,40.7,-99.08,71.6,14.99
265,geraldton,,,1528902000,63,49.72,-86.95,62.6,8.05
266,castro,,,1528905454,99,-42.48,-73.76,39.73,2.73
267,luganville,,,1528905455,100,-15.51,167.18,75.19,4.85
268,mahebourg,,,1528902000,69,-20.41,57.7,75.2,14.99
269,vostok,,,1528905455,83,46.45,135.83,45.04,1.95
270,esperance,,,1528902000,88,10.24,-61.45,80.6,12.75
271,fare,,,1528905456,100,-16.7,-151.02,79.42,13.91
272,toora-khem,,,1528905456,83,52.47,96.11,57.82,2.84
273,santa rita,,,1528905458,64,10.21,-67.56,83.65,2.73
274,west bay,,,1528903200,77,50.71,-2.76,68,12.75
275,gamba,,,1528905459,91,28.28,88.52,32.35,2.28
276,rudnya,,,1528905459,88,50.8,44.56,63.31,7.65
277,norman wells,,,1528902000,65,65.28,-126.83,44.6,5.82
278,salinas,,,1528904100,67,36.67,-121.66,60.8,3.62
279,ugoofaaru,,,1528905461,100,5.67,73,82.93,8.77
280,kiunga,,,1528905464,94,-6.12,141.3,74.29,2.06
281,koumac,,,1528905465,96,-20.56,164.28,67.9,4.07
282,adre,,,1528905465,16,13.47,22.2,103.27,8.66
283,ahtopol,,,1528903800,57,42.1,27.94,77,13.87
